Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Timestamp,Transaction Status,Fraud Flag,Geolocation (Latitude/Longitude),Device Used,Network Slice ID,Latency (ms),Slice Bandwidth (Mbps),PIN Code
T6B148224,ACC29295,ACC96401,800.64,Withdrawal,2024-12-26 10:50:00,Success,False,"41.8672 N, -87.6477 W",Desktop,Ethernet,2,142,3566
TF1B87458,ACC97614,ACC48951,793.95,Deposit,2024-02-04 10:55:00,Success,False,"34.0773 N, -118.2002 W",Mobile,5G,26,229,4693
T9CD3FCB5,ACC30530,ACC30530,60.88,Withdrawal,2024-05-21 10:23:00,Failed,True,"40.7607 N, -74.0497 W",Desktop,Ethernet,5,103,9002
T15F611BC,ACC25089,ACC78786,992.8,Withdrawal,2024-09-22 10:43:00,Failed,True,"40.668 N, -73.99 W",Desktop,Ethernet,5,139,7140
T00943313,ACC91378,ACC54434,633.35,Deposit,2024-06-27 04:07:33,Failed,False,"40.7615 N, -73.9599 W",Desktop,Ethernet,6,126,7132
T7F660C40,ACC47841,ACC84653,0.0,Transfer,2024-02-22 10:32:00,Success,True,"41.9141 N, -87.5875 W",Mobile,LTE,70,109,1495
TEE6BFDBC,ACC50016,ACC16610,906.4,Transfer,2024-05-19 10:09:00,Failed,False,"39.0716 N, -94.6042 W",Desktop,Ethernet,6,87,1704
T5FC06342,ACC74504,ACC51180,1476.97,Transfer,2024-08-18 10:53:00,Success,True,"34.0957 N, -118.2328 W",Mobile,5G,16,79,9607
T356B6A08,ACC46333,ACC52400,105.99,Withdrawal,2024-02-23 10:37:00,Failed,True,"39.9414 N, -75.1429 W",Desktop,Wi-Fi,16,87,7605
TA61A95A6,ACC28763,ACC24097,725.22,Deposit,2024-04-05 10:15:00,Failed,True,"41.8625 N, -87.6109 W",Desktop,Ethernet,2,140,5751
T6AD15A6A,ACC88149,ACC56767,437.44,Transfer,2024-02-08 10:41:00,Failed,True,"37.3213 N, -121.9196 W",Mobile,LTE,40,94,7397
T98EE2CD9,ACC13209,ACC13209,1201.84,Transfer,2024-12-01 10:20:00,Success,False,"40.755 N, -73.9779 W",Mobile,5G,43,68,8550
TAE8589E6,ACC62620,ACC43275,424.14,Transfer,2024-07-20 10:53:00,Failed,False,"35.2023 N, -80.7965 W",Desktop,Ethernet,2,99,6296
T13CE9FEB,ACC97828,ACC93951,714.58,Transfer,2024-03-12 10:55:00,Success,False,"29.3881 N, -98.462 W",Mobile,5G,18,112,8671
TEF04416A,ACC18381,ACC76710,449.56,Withdrawal,2024-03-23 10:01:00,Failed,False,"45.5355 N, -122.7066 W",Desktop,Wi-Fi,23,191,4779
T22F6611E,ACC65228,ACC34461,1009.5,Withdrawal,2024-02-08 10:10:00,Success,True,"35.5083 N, -97.5053 W",Mobile,5G,44,153,4217
T6B70DEEE,ACC22851,ACC79506,472.7,Transfer,2024-11-08 10:58:00,Failed,True,"39.9864 N, -75.1408 W",Desktop,Wi-Fi,24,250,5380
T4CFE148E,ACC59937,ACC72083,890.41,Withdrawal,2024-11-16 10:12:00,Success,False,"40.6801 N, -73.9896 W",Desktop,Ethernet,3,209,8663
T84819253,ACC64767,ACC81444,677.83,Withdrawal,2024-12-10 10:57:00,Success,False,"34.071 N, -118.2137 W",Desktop,Ethernet,6,153,8673
T782F07B6,ACC90929,ACC12075,1150.77,Deposit,2024-07-28 10:12:00,Success,True,"32.188 N, -110.9868 W",Desktop,Ethernet,7,105,8310
T21C5EE73,ACC93380,ACC92174,1251.19,Deposit,2024-09-25 10:47:00,Failed,True,"40.6634 N, -74.0407 W",Desktop,Ethernet,3,207,2695
TE59F3CB8,ACC39081,ACC11992,394.76,Deposit,2024-03-11 10:13:00,Failed,False,"38.3015 N, -85.7831 W",Desktop,Wi-Fi,22,146,7035
TDB928921,ACC49408,ACC26901,539.4,Transfer,2024-02-14 10:56:00,Success,True,"33.75 N, -118.1828 W",Mobile,5G,30,208,7319
T104A812D,ACC92615,ACC20606,978.2,Deposit,2024-05-27 02:05:44,Failed,True,"33.4645 N, -112.1232 W",Desktop,Ethernet,3,91,7541
T7B97785A,ACC23770,ACC81872,1011.54,Deposit,2024-02-16 10:35:00,Success,True,"40.6984 N, -73.9782 W",Desktop,Ethernet,5,108,6956
TAB6F04A5,ACC68077,ACC86016,26731.12,Deposit,2024-01-18 10:35:00,Failed,True,"34.0808 N, -118.2741 W",Desktop,Ethernet,4,70,4182
T9F9BF258,ACC26336,ACC12865,224.14,Transfer,2024-01-28 10:24:00,Success,False,"30.2871 N, -81.6801 W",Mobile,3G,184,213,4260
